worker_id,session,item_id,group,access_tier,modality,assist_arm,y_true,ai_conf,ai_correct,human_accept,human_correct,high_conf_error,caught_high_conf_error
W001,1,1,0,smart_3G,voice,Calib,1,0.772,1,1,1,0,0
W001,1,2,0,smart_3G,voice,Calib,0,0.706,1,0,1,0,0
W001,1,3,0,smart_3G,voice,Counter,1,0.585,1,0,0,0,0
W001,1,4,0,smart_3G,voice,Rationale,0,0.828,1,1,0,0,0
W001,1,5,0,smart_3G,voice,Rationale,1,0.757,1,0,1,0,0
W001,1,6,0,smart_3G,voice,Rationale,0,0.778,1,1,1,0,0
W001,1,7,0,smart_3G,voice,Calib,1,0.685,1,0,1,0,0
W001,1,8,0,smart_3G,voice,Rationale,1,0.747,1,0,1,0,0
W001,1,9,0,smart_3G,voice,Rationale,1,0.69,0,1,0,0,0
W001,1,10,0,smart_3G,voice,Counter,1,0.633,1,1,0,0,0
W001,1,11,0,smart_3G,voice,Calib,1,0.63,1,0,1,0,0
W001,1,12,0,smart_3G,voice,None,0,0.436,0,1,0,0,0
W001,1,13,0,smart_3G,voice,Calib,0,0.492,0,0,0,0,0
W001,1,14,0,smart_3G,voice,Calib,0,0.771,1,0,1,0,0
W001,1,15,0,smart_3G,voice,Counter,0,0.718,1,1,1,0,0
W001,1,16,0,smart_3G,voice,None,1,0.712,1,0,1,0,0
W001,1,17,0,smart_3G,voice,Calib,0,0.85,1,1,0,0,0
W001,1,18,0,smart_3G,voice,Calib,0,0.874,0,0,1,1,1
W001,1,19,0,smart_3G,voice,None,1,0.857,1,1,1,0,0
W001,1,20,0,smart_3G,voice,Rationale,0,0.763,1,0,1,0,0
W001,1,21,0,smart_3G,voice,Rationale,1,0.675,1,0,1,0,0
W001,1,22,0,smart_3G,voice,Rationale,1,0.99,1,1,1,0,0
W001,1,23,0,smart_3G,voice,None,1,0.867,1,1,0,0,0
W001,1,24,0,smart_3G,voice,Rationale,0,0.86,1,1,1,0,0
W001,1,25,0,smart_3G,voice,Calib,0,0.937,1,1,1,0,0
W001,1,26,0,smart_3G,voice,Rationale,1,0.367,0,0,0,0,0
W001,1,27,0,smart_3G,voice,Rationale,0,0.603,0,0,0,0,0
W001,1,28,0,smart_3G,voice,Rationale,1,0.684,1,0,1,0,0
W001,1,29,0,smart_3G,voice,None,0,0.88,1,0,0,0,0
W001,1,30,0,smart_3G,voice,Rationale,1,0.785,1,1,1,0,0
W001,1,31,0,smart_3G,voice,Counter,1,0.86,1,1,1,0,0
W001,1,32,0,smart_3G,voice,Calib,0,0.618,0,0,0,0,0
W001,1,33,0,smart_3G,voice,Counter,0,0.702,0,1,0,0,0
W001,1,34,0,smart_3G,voice,Counter,1,0.923,1,1,1,0,0
W001,1,35,0,smart_3G,voice,Counter,1,0.674,1,0,0,0,0
W001,1,36,0,smart_3G,voice,Calib,1,0.778,1,1,1,0,0
W001,1,37,0,smart_3G,voice,Rationale,1,0.709,0,1,1,0,0
W001,1,38,0,smart_3G,voice,Calib,1,0.596,0,0,1,0,0
